year,month,day,dow,births
1995,1,29,Sunday,8009
1995,1,30,Monday,10515
1995,1,31,Tuesday,11364
1995,2,1,Wednesday,11279
1995,2,2,Thursday,11490
1995,2,3,Friday,11264
1995,2,4,Saturday,8769
1995,2,5,Sunday,8017
1995,2,6,Monday,10587
1995,2,7,Tuesday,11483
1995,2,8,Wednesday,11205
1995,2,9,Thursday,11282
1995,2,10,Friday,11615
1995,2,11,Saturday,8949
1995,2,12,Sunday,8007
1995,2,13,Monday,10351
1995,2,14,Tuesday,12454
1995,2,15,Wednesday,11828
1995,2,16,Thursday,11657
1995,2,17,Friday,11625
1995,2,18,Saturday,8788
1995,2,19,Sunday,8038
1995,2,20,Monday,10258
1995,2,21,Tuesday,11582
1995,2,22,Wednesday,11716
1995,2,23,Thursday,11786
1995,2,24,Friday,11671
1995,2,25,Saturday,8829
1995,2,26,Sunday,8183
1995,2,27,Monday,10702
1995,2,28,Tuesday,11679
1995,3,1,Wednesday,11540
1995,3,2,Thursday,11377
1995,3,3,Friday,11649
1995,3,4,Saturday,8807
1995,3,5,Sunday,7984
1995,3,6,Monday,10810
1995,3,7,Tuesday,12115
1995,3,8,Wednesday,11618
1995,3,9,Thursday,11380
1995,3,10,Friday,11827
1995,3,11,Saturday,8744
1995,3,12,Sunday,7859
1995,3,13,Monday,10609
1995,3,14,Tuesday,11750
1995,3,15,Wednesday,11736
1995,3,16,Thursday,11751
1995,3,17,Friday,11953
1995,3,18,Saturday,8538
1995,3,19,Sunday,7787
1995,3,20,Monday,10588
1995,3,21,Tuesday,11837
1995,3,22,Wednesday,11485
1995,3,23,Thursday,11435
1995,3,24,Friday,11329
1995,3,25,Saturday,8628
1995,3,26,Sunday,7614
1995,3,27,Monday,10541
1995,3,28,Tuesday,11563
1995,3,29,Wednesday,11125
1995,3,30,Thursday,11205
1995,3,31,Friday,11319
1995,4,1,Saturday,8398
1995,4,2,Sunday,7547
1995,4,3,Monday,10651
1995,4,4,Tuesday,11960
1995,4,5,Wednesday,11475
1995,4,6,Thursday,11429
1995,4,7,Friday,11587
1995,4,8,Saturday,8588
1995,4,9,Sunday,7839
1995,4,10,Monday,10930
1995,4,11,Tuesday,11939
1995,4,12,Wednesday,11750
1995,4,13,Thursday,11411
1995,4,14,Friday,10687
1995,4,15,Saturday,8492
1995,4,16,Sunday,7503
1995,4,17,Monday,10640
1995,4,18,Tuesday,11652
1995,4,19,Wednesday,11680
1995,4,20,Thursday,11504
1995,4,21,Friday,11445
1995,4,22,Saturday,8560
1995,4,23,Sunday,7749
1995,4,24,Monday,11014
1995,4,25,Tuesday,11811
1995,4,26,Wednesday,11551
1995,4,27,Thursday,11601
1995,4,28,Friday,11457
1995,4,29,Saturday,8492
1995,4,30,Sunday,7777
